"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 6 June 2015"," Confirmed","3237","2016"
"Guinea"," 6 June 2015"," Probable","419","419"
"Guinea"," 6 June 2015"," Suspected","13","Not available"
"Guinea"," 6 June 2015"," Total","3669","2435"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 6 June 2015"," Confirmed","8630","3547"
"Sierra Leone"," 6 June 2015"," Probable","287","208"
"Sierra Leone"," 6 June 2015"," Suspected","3967","158"
"Sierra Leone"," 6 June 2015"," Total","12 884","3913"
"All countries","  "," Confirmed","15 018","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9616","Not available"
"All countries","  "," Total","27 219","11 154"
