"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 13 December 2015"," Confirmed","3351","2083"
"Guinea"," 13 December 2015"," Probable","453","453"
"Guinea"," 13 December 2015"," Suspected","3","Not available"
"Guinea"," 13 December 2015"," Total","3807","2536"
"Liberia"," 6 December 2015"," Confirmed","9","3"
"Liberia"," 6 December 2015"," Probable","Not available","Not available"
"Liberia"," 6 December 2015"," Suspected","Not available","Not available"
"Liberia"," 6 December 2015"," Total","9","3"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 7 November 2015"," Confirmed","8704","3589"
"Sierra Leone"," 7 November 2015"," Probable","287","208"
"Sierra Leone"," 7 November 2015"," Suspected","5131","158"
"Sierra Leone"," 7 November 2015"," Total","14 122","3955"
"All countries","  "," Confirmed","15 215","Not available"
"All countries","  "," Probable","2619","Not available"
"All countries","  "," Suspected","10 770","Not available"
"All countries","  "," Total","28 604","11 300"
