"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 18 July 2015"," Confirmed","3322","2061"
"Guinea"," 18 July 2015"," Probable","450","450"
"Guinea"," 18 July 2015"," Suspected","12","Not available"
"Guinea"," 18 July 2015"," Total","3784","2511"
"Liberia"," 15 July 2015"," Confirmed","6","2"
"Liberia"," 15 July 2015"," Probable","1","Not available"
"Liberia"," 15 July 2015"," Suspected","Not available","Not available"
"Liberia"," 15 July 2015"," Total","7","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 18 July 2015"," Confirmed","8692","3583"
"Sierra Leone"," 18 July 2015"," Probable","287","208"
"Sierra Leone"," 18 July 2015"," Suspected","4262","158"
"Sierra Leone"," 18 July 2015"," Total","13 241","3949"
"All countries","  "," Confirmed","15 171","Not available"
"All countries","  "," Probable","2617","Not available"
"All countries","  "," Suspected","9910","Not available"
"All countries","  "," Total","27 698","11 268"
