"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 31 May 2015"," Confirmed","3223","2010"
"Guinea"," 31 May 2015"," Probable","419","419"
"Guinea"," 31 May 2015"," Suspected","10","Not available"
"Guinea"," 31 May 2015"," Total","3652","2429"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 31 May 2015"," Confirmed","8620","3546"
"Sierra Leone"," 31 May 2015"," Probable","287","208"
"Sierra Leone"," 31 May 2015"," Suspected","3920","158"
"Sierra Leone"," 31 May 2015"," Total","12 827","3912"
"All countries","  "," Confirmed","14 994","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9566","Not available"
"All countries","  "," Total","27 145","11 147"
