"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 4 July 2015"," Confirmed","3287","2048"
"Guinea"," 4 July 2015"," Probable","450","450"
"Guinea"," 4 July 2015"," Suspected","7","Not available"
"Guinea"," 4 July 2015"," Total","3744","2498"
"Liberia"," 3 July 2015"," Confirmed","3","1"
"Liberia"," 3 July 2015"," Probable","1","Not available"
"Liberia"," 3 July 2015"," Suspected","Not available","Not available"
"Liberia"," 3 July 2015"," Total","4","1"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 4 July 2015"," Confirmed","8673","3574"
"Sierra Leone"," 4 July 2015"," Probable","287","208"
"Sierra Leone"," 4 July 2015"," Suspected","4190","158"
"Sierra Leone"," 4 July 2015"," Total","13 150","3940"
"All countries","  "," Confirmed","15 114","Not available"
"All countries","  "," Probable","2617","Not available"
"All countries","  "," Suspected","9833","Not available"
"All countries","  "," Total","27 564","11 245"
