"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 2 June 2015"," Confirmed","3227","2012"
"Guinea"," 2 June 2015"," Probable","419","419"
"Guinea"," 2 June 2015"," Suspected","11","Not available"
"Guinea"," 2 June 2015"," Total","3657","2431"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 2 June 2015"," Confirmed","8623","3546"
"Sierra Leone"," 2 June 2015"," Probable","287","208"
"Sierra Leone"," 2 June 2015"," Suspected","3940","158"
"Sierra Leone"," 2 June 2015"," Total","12 850","3912"
"All countries","  "," Confirmed","15 001","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9587","Not available"
"All countries","  "," Total","27 173","11 149"
