"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 22 July 2015"," Confirmed","3325","2066"
"Guinea"," 22 July 2015"," Probable","451","451"
"Guinea"," 22 July 2015"," Suspected","11","Not available"
"Guinea"," 22 July 2015"," Total","3787","2517"
"Liberia"," 15 July 2015"," Confirmed","6","2"
"Liberia"," 15 July 2015"," Probable","1","Not available"
"Liberia"," 15 July 2015"," Suspected","Not available","Not available"
"Liberia"," 15 July 2015"," Total","7","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 22 July 2015"," Confirmed","8693","3583"
"Sierra Leone"," 22 July 2015"," Probable","287","208"
"Sierra Leone"," 22 July 2015"," Suspected","4284","158"
"Sierra Leone"," 22 July 2015"," Total","13 264","3949"
"All countries","  "," Confirmed","15 175","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","9931","Not available"
"All countries","  "," Total","27 724","11 274"
