"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 23 June 2015"," Confirmed","3264","2037"
"Guinea"," 23 June 2015"," Probable","443","443"
"Guinea"," 23 June 2015"," Suspected","11","Not available"
"Guinea"," 23 June 2015"," Total","3718","2480"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 23 June 2015"," Confirmed","8660","3565"
"Sierra Leone"," 23 June 2015"," Probable","287","208"
"Sierra Leone"," 23 June 2015"," Suspected","4136","158"
"Sierra Leone"," 23 June 2015"," Total","13 083","3931"
"All countries","  "," Confirmed","15 075","Not available"
"All countries","  "," Probable","2609","Not available"
"All countries","  "," Suspected","9783","Not available"
"All countries","  "," Total","27 467","11 217"
