"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 23 August 2015"," Confirmed","3335","2075"
"Guinea"," 23 August 2015"," Probable","452","452"
"Guinea"," 23 August 2015"," Suspected","5","Not available"
"Guinea"," 23 August 2015"," Total","3792","2527"
"Liberia"," 20 August 2015"," Confirmed","6","2"
"Liberia"," 20 August 2015"," Probable","0","Not available"
"Liberia"," 20 August 2015"," Suspected","Not available","Not available"
"Liberia"," 20 August 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 23 August 2015"," Confirmed","8697","3586"
"Sierra Leone"," 23 August 2015"," Probable","287","208"
"Sierra Leone"," 23 August 2015"," Suspected","4557","158"
"Sierra Leone"," 23 August 2015"," Total","13 541","3952"
"All countries","  "," Confirmed","15 189","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 198","Not available"
"All countries","  "," Total","28 005","11 287"
