"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 16 May 2015"," Confirmed","3195","1986"
"Guinea"," 16 May 2015"," Probable","419","419"
"Guinea"," 16 May 2015"," Suspected","12","Not available"
"Guinea"," 16 May 2015"," Total","3626","2405"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 16 May 2015"," Confirmed","8603","3540"
"Sierra Leone"," 16 May 2015"," Probable","287","208"
"Sierra Leone"," 16 May 2015"," Suspected","3703","158"
"Sierra Leone"," 16 May 2015"," Total","12 593","3906"
"All countries","  "," Confirmed","14 949","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9351","Not available"
"All countries","  "," Total","26 885","11 117"
