"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 16 June 2015"," Confirmed","3246","2026"
"Guinea"," 16 June 2015"," Probable","419","419"
"Guinea"," 16 June 2015"," Suspected","10","Not available"
"Guinea"," 16 June 2015"," Total","3675","2445"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 16 June 2015"," Confirmed","8651","3556"
"Sierra Leone"," 16 June 2015"," Probable","287","208"
"Sierra Leone"," 16 June 2015"," Suspected","4052","158"
"Sierra Leone"," 16 June 2015"," Total","12 990","3922"
"All countries","  "," Confirmed","15 048","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9698","Not available"
"All countries","  "," Total","27 331","11 173"
