"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 10 June 2015"," Confirmed","3243","2021"
"Guinea"," 10 June 2015"," Probable","419","419"
"Guinea"," 10 June 2015"," Suspected","15","Not available"
"Guinea"," 10 June 2015"," Total","3677","2440"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 10 June 2015"," Confirmed","8647","3551"
"Sierra Leone"," 10 June 2015"," Probable","287","208"
"Sierra Leone"," 10 June 2015"," Suspected","3998","158"
"Sierra Leone"," 10 June 2015"," Total","12 932","3917"
"All countries","  "," Confirmed","15 041","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9649","Not available"
"All countries","  "," Total","27 275","11 163"
