"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 5 July 2015"," Confirmed","3287","2049"
"Guinea"," 5 July 2015"," Probable","450","450"
"Guinea"," 5 July 2015"," Suspected","11","Not available"
"Guinea"," 5 July 2015"," Total","3748","2499"
"Liberia"," 5 July 2015"," Confirmed","3","1"
"Liberia"," 5 July 2015"," Probable","1","Not available"
"Liberia"," 5 July 2015"," Suspected","Not available","Not available"
"Liberia"," 5 July 2015"," Total","4","1"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 5 July 2015"," Confirmed","8674","3574"
"Sierra Leone"," 5 July 2015"," Probable","287","208"
"Sierra Leone"," 5 July 2015"," Suspected","4194","158"
"Sierra Leone"," 5 July 2015"," Total","13 155","3940"
"All countries","  "," Confirmed","15 115","Not available"
"All countries","  "," Probable","2617","Not available"
"All countries","  "," Suspected","9841","Not available"
"All countries","  "," Total","27 573","11 246"
