"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 28 July 2015"," Confirmed","3326","2069"
"Guinea"," 28 July 2015"," Probable","452","452"
"Guinea"," 28 July 2015"," Suspected","7","Not available"
"Guinea"," 28 July 2015"," Total","3785","2521"
"Liberia"," 22 July 2015"," Confirmed","6","2"
"Liberia"," 22 July 2015"," Probable","0","Not available"
"Liberia"," 22 July 2015"," Suspected","Not available","Not available"
"Liberia"," 22 July 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 28 July 2015"," Confirmed","8694","3585"
"Sierra Leone"," 28 July 2015"," Probable","287","208"
"Sierra Leone"," 28 July 2015"," Suspected","4398","158"
"Sierra Leone"," 28 July 2015"," Total","13 379","3951"
"All countries","  "," Confirmed","15 177","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 041","Not available"
"All countries","  "," Total","27 836","11 280"
