"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 13 September 2015"," Confirmed","3338","3","2078"
"Guinea"," 13 September 2015"," Probable","452","Not reported.","452"
"Guinea"," 13 September 2015"," Suspected","2","Not reported.","Data not available."
"Guinea"," 13 September 2015"," Total","3792","3","2530"
"Liberia"," 7 September 2015"," Confirmed","6","0","2"
"Liberia"," 7 September 2015"," Probable","Not reported.","Not reported.","Data not available."
"Liberia"," 7 September 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 7 September 2015"," Total","6","0","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 13 September 2015"," Confirmed","8704","7","3587"
"Sierra Leone"," 13 September 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 13 September 2015"," Suspected","4765","Not reported.","158"
"Sierra Leone"," 13 September 2015"," Total","13 756","7","3953"
"All countries","  "," Confirmed","15 199","10","Data not available."
"All countries","  "," Probable","2618","Not reported.","Data not available."
"All countries","  "," Suspected","10 403","Not reported.","Data not available."
"All countries","  "," Total","28 220","10","11 291"
