"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 9 June 2015"," Confirmed","3243","2021"
"Guinea"," 9 June 2015"," Probable","419","419"
"Guinea"," 9 June 2015"," Suspected","12","Not available"
"Guinea"," 9 June 2015"," Total","3674","2440"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 9 June 2015"," Confirmed","8638","3551"
"Sierra Leone"," 9 June 2015"," Probable","287","208"
"Sierra Leone"," 9 June 2015"," Suspected","3986","158"
"Sierra Leone"," 9 June 2015"," Total","12 911","3917"
"All countries","  "," Confirmed","15 032","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9634","Not available"
"All countries","  "," Total","27 251","11 163"
