"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 19 July 2015"," Confirmed","3322","53","2062"
"Guinea"," 19 July 2015"," Probable","450","Not reported.","450"
"Guinea"," 19 July 2015"," Suspected","11","Not reported.","Data not available."
"Guinea"," 19 July 2015"," Total","3783","53","2512"
"Liberia"," 15 July 2015"," Confirmed","6","6","2"
"Liberia"," 15 July 2015"," Probable","0","Not reported.","Data not available."
"Liberia"," 15 July 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 15 July 2015"," Total","6","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 19 July 2015"," Confirmed","8691","26","3583"
"Sierra Leone"," 19 July 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 19 July 2015"," Suspected","4271","Not reported.","158"
"Sierra Leone"," 19 July 2015"," Total","13 249","26","3949"
"All countries","  "," Confirmed","15 170","85","Data not available."
"All countries","  "," Probable","2616","Not reported.","Data not available."
"All countries","  "," Suspected","9918","Not reported.","Data not available."
"All countries","  "," Total","27 704","85","11 269"
