"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 12 July 2015"," Confirmed","3300","43","2056"
"Guinea"," 12 July 2015"," Probable","450","Not reported.","450"
"Guinea"," 12 July 2015"," Suspected","10","Not reported.","Data not available."
"Guinea"," 12 July 2015"," Total","3760","43","2506"
"Liberia"," 12 July 2015"," Confirmed","6","6","2"
"Liberia"," 12 July 2015"," Probable","1","1","Data not available."
"Liberia"," 12 July 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 12 July 2015"," Total","7","7","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 12 July 2015"," Confirmed","8688","31","3581"
"Sierra Leone"," 12 July 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 12 July 2015"," Suspected","4234","Not reported.","158"
"Sierra Leone"," 12 July 2015"," Total","13 209","31","3947"
"All countries","  "," Confirmed","15 145","80","Data not available."
"All countries","  "," Probable","2617","1","Data not available."
"All countries","  "," Suspected","9880","Not reported.","Data not available."
"All countries","  "," Total","27 642","81","11 261"
