"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 23 May 2015"," Confirmed","3208","1999"
"Guinea"," 23 May 2015"," Probable","419","419"
"Guinea"," 23 May 2015"," Suspected","13","Not available"
"Guinea"," 23 May 2015"," Total","3640","2418"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 23 May 2015"," Confirmed","8608","3542"
"Sierra Leone"," 23 May 2015"," Probable","287","208"
"Sierra Leone"," 23 May 2015"," Suspected","3801","158"
"Sierra Leone"," 23 May 2015"," Total","12 696","3908"
"All countries","  "," Confirmed","14 967","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9450","Not available"
"All countries","  "," Total","27 002","11 132"
