"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 27 June 2015"," Confirmed","3268","2039"
"Guinea"," 27 June 2015"," Probable","443","443"
"Guinea"," 27 June 2015"," Suspected","13","Not available"
"Guinea"," 27 June 2015"," Total","3724","2482"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 27 June 2015"," Confirmed","8664","3566"
"Sierra Leone"," 27 June 2015"," Probable","287","208"
"Sierra Leone"," 27 June 2015"," Suspected","4164","158"
"Sierra Leone"," 27 June 2015"," Total","13 115","3932"
"All countries","  "," Confirmed","15 083","Not available"
"All countries","  "," Probable","2609","Not available"
"All countries","  "," Suspected","9813","Not available"
"All countries","  "," Total","27 505","11 220"
