"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 16 September 2015"," Confirmed","3339","2079"
"Guinea"," 16 September 2015"," Probable","452","452"
"Guinea"," 16 September 2015"," Suspected","3","Not available"
"Guinea"," 16 September 2015"," Total","3794","2531"
"Liberia"," 7 September 2015"," Confirmed","6","2"
"Liberia"," 7 September 2015"," Probable","0","Not available"
"Liberia"," 7 September 2015"," Suspected","Not available","Not available"
"Liberia"," 7 September 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 16 September 2015"," Confirmed","8704","3589"
"Sierra Leone"," 16 September 2015"," Probable","287","208"
"Sierra Leone"," 16 September 2015"," Suspected","4794","158"
"Sierra Leone"," 16 September 2015"," Total","13 785","3955"
"All countries","  "," Confirmed","15 200","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 433","Not available"
"All countries","  "," Total","28 251","11 294"
