"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 19 May 2015"," Confirmed","3204","1990"
"Guinea"," 19 May 2015"," Probable","419","419"
"Guinea"," 19 May 2015"," Suspected","26","Not available"
"Guinea"," 19 May 2015"," Total","3649","2409"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 19 May 2015"," Confirmed","8607","3541"
"Sierra Leone"," 19 May 2015"," Probable","287","208"
"Sierra Leone"," 19 May 2015"," Suspected","3762","158"
"Sierra Leone"," 19 May 2015"," Total","12 656","3907"
"All countries","  "," Confirmed","14 962","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9424","Not available"
"All countries","  "," Total","26 971","11 122"
