"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 20 May 2015"," Confirmed","3205","1993"
"Guinea"," 20 May 2015"," Probable","419","419"
"Guinea"," 20 May 2015"," Suspected","23","Not available"
"Guinea"," 20 May 2015"," Total","3647","2412"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 20 May 2015"," Confirmed","8608","3541"
"Sierra Leone"," 20 May 2015"," Probable","287","208"
"Sierra Leone"," 20 May 2015"," Suspected","3771","158"
"Sierra Leone"," 20 May 2015"," Total","12 666","3907"
"All countries","  "," Confirmed","14 964","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9430","Not available"
"All countries","  "," Total","26 979","11 125"
