"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 16 August 2015"," Confirmed","3332","6","2072"
"Guinea"," 16 August 2015"," Probable","452","Not reported.","452"
"Guinea"," 16 August 2015"," Suspected","2","Not reported.","Data not available."
"Guinea"," 16 August 2015"," Total","3786","6","2524"
"Liberia"," 13 August 2015"," Confirmed","6","0","2"
"Liberia"," 13 August 2015"," Probable","0","Not reported.","Data not available."
"Liberia"," 13 August 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 13 August 2015"," Total","6","0","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 16 August 2015"," Confirmed","8697","3","3586"
"Sierra Leone"," 16 August 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 16 August 2015"," Suspected","4510","Not reported.","158"
"Sierra Leone"," 16 August 2015"," Total","13 494","3","3952"
"All countries","  "," Confirmed","15 186","9","Data not available."
"All countries","  "," Probable","2618","Not reported.","Data not available."
"All countries","  "," Suspected","10 148","Not reported.","Data not available."
"All countries","  "," Total","27 952","9","11 284"
