"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 30 August 2015"," Confirmed","3337","8","2077"
"Guinea"," 30 August 2015"," Probable","452","Not reported.","452"
"Guinea"," 30 August 2015"," Suspected","3","Not reported.","Data not available."
"Guinea"," 30 August 2015"," Total","3792","8","2529"
"Liberia"," 20 August 2015"," Confirmed","6","0","2"
"Liberia"," 20 August 2015"," Probable","Not reported.","Not reported.","Data not available."
"Liberia"," 20 August 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 20 August 2015"," Total","6","0","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 30 August 2015"," Confirmed","8698","1","3587"
"Sierra Leone"," 30 August 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 30 August 2015"," Suspected","4624","Not reported.","158"
"Sierra Leone"," 30 August 2015"," Total","13 609","1","3953"
"All countries","  "," Confirmed","15 192","9","Data not available."
"All countries","  "," Probable","2618","Not reported.","Data not available."
"All countries","  "," Suspected","10 263","Not reported.","Data not available."
"All countries","  "," Total","28 073","9","11 290"
