"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 6 September 2015"," Confirmed","3338","6","2078"
"Guinea"," 6 September 2015"," Probable","452","Not reported.","452"
"Guinea"," 6 September 2015"," Suspected","2","Not reported.","Data not available."
"Guinea"," 6 September 2015"," Total","3792","6","2530"
"Liberia"," 6 September 2015"," Confirmed","6","0","2"
"Liberia"," 6 September 2015"," Probable","Not reported.","Not reported.","Data not available."
"Liberia"," 6 September 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 6 September 2015"," Total","6","0","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 6 September 2015"," Confirmed","8699","2","3587"
"Sierra Leone"," 6 September 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 6 September 2015"," Suspected","4697","Not reported.","158"
"Sierra Leone"," 6 September 2015"," Total","13 683","2","3953"
"All countries","  "," Confirmed","15 194","8","Data not available."
"All countries","  "," Probable","2618","Not reported.","Data not available."
"All countries","  "," Suspected","10 335","Not reported.","Data not available."
"All countries","  "," Total","28 147","8","11 291"
