"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 26 July 2015"," Confirmed","3326","39","2069"
"Guinea"," 26 July 2015"," Probable","451","Not reported.","451"
"Guinea"," 26 July 2015"," Suspected","9","Not reported.","Data not available."
"Guinea"," 26 July 2015"," Total","3786","39","2520"
"Liberia"," 22 July 2015"," Confirmed","6","3","2"
"Liberia"," 22 July 2015"," Probable","0","Not reported.","Data not available."
"Liberia"," 22 July 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 22 July 2015"," Total","6","3","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 26 July 2015"," Confirmed","8694","20","3585"
"Sierra Leone"," 26 July 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 26 July 2015"," Suspected","4309","Not reported.","158"
"Sierra Leone"," 26 July 2015"," Total","13 290","20","3951"
"All countries","  "," Confirmed","15 177","62","Data not available."
"All countries","  "," Probable","2617","Not reported.","Data not available."
"All countries","  "," Suspected","9954","Not reported.","Data not available."
"All countries","  "," Total","27 748","62","11 279"
