"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 22 August 2015"," Confirmed","3334","2075"
"Guinea"," 22 August 2015"," Probable","452","452"
"Guinea"," 22 August 2015"," Suspected","4","Not available"
"Guinea"," 22 August 2015"," Total","3790","2527"
"Liberia"," 20 August 2015"," Confirmed","6","2"
"Liberia"," 20 August 2015"," Probable","0","Not available"
"Liberia"," 20 August 2015"," Suspected","Not available","Not available"
"Liberia"," 20 August 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 22 August 2015"," Confirmed","8697","3586"
"Sierra Leone"," 22 August 2015"," Probable","287","208"
"Sierra Leone"," 22 August 2015"," Suspected","4554","158"
"Sierra Leone"," 22 August 2015"," Total","13 538","3952"
"All countries","  "," Confirmed","15 188","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 194","Not available"
"All countries","  "," Total","28 000","11 287"
