"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 17 May 2015"," Confirmed","3201","1988"
"Guinea"," 17 May 2015"," Probable","419","419"
"Guinea"," 17 May 2015"," Suspected","15","Not available"
"Guinea"," 17 May 2015"," Total","3635","2407"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 17 May 2015"," Confirmed","8605","3541"
"Sierra Leone"," 17 May 2015"," Probable","287","208"
"Sierra Leone"," 17 May 2015"," Suspected","3740","158"
"Sierra Leone"," 17 May 2015"," Total","12 632","3907"
"All countries","  "," Confirmed","14 957","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9391","Not available"
"All countries","  "," Total","26 933","11 120"
