"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 9 August 2015"," Confirmed","3329","2072"
"Guinea"," 9 August 2015"," Probable","452","452"
"Guinea"," 9 August 2015"," Suspected","6","Not available"
"Guinea"," 9 August 2015"," Total","3787","2524"
"Liberia"," 6 August 2015"," Confirmed","6","2"
"Liberia"," 6 August 2015"," Probable","0","Not available"
"Liberia"," 6 August 2015"," Suspected","Not available","Not available"
"Liberia"," 6 August 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 9 August 2015"," Confirmed","8697","3585"
"Sierra Leone"," 9 August 2015"," Probable","287","208"
"Sierra Leone"," 9 August 2015"," Suspected","4486","158"
"Sierra Leone"," 9 August 2015"," Total","13 470","3951"
"All countries","  "," Confirmed","15 183","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 128","Not available"
"All countries","  "," Total","27 929","11 283"
