"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 14 July 2015"," Confirmed","3304","2056"
"Guinea"," 14 July 2015"," Probable","450","450"
"Guinea"," 14 July 2015"," Suspected","8","Not available"
"Guinea"," 14 July 2015"," Total","3762","2506"
"Liberia"," 13 July 2015"," Confirmed","6","2"
"Liberia"," 13 July 2015"," Probable","0","Not available"
"Liberia"," 13 July 2015"," Suspected","Not available","Not available"
"Liberia"," 13 July 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 12 July 2015"," Confirmed","8688","3581"
"Sierra Leone"," 12 July 2015"," Probable","287","208"
"Sierra Leone"," 12 July 2015"," Suspected","4234","158"
"Sierra Leone"," 12 July 2015"," Total","13 209","3947"
"All countries","  "," Confirmed","15 149","Not available"
"All countries","  "," Probable","2616","Not available"
"All countries","  "," Suspected","9878","Not available"
"All countries","  "," Total","27 643","11 261"
