"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 9 August 2015"," Confirmed","3329","7","2072"
"Guinea"," 9 August 2015"," Probable","452","Not reported.","452"
"Guinea"," 9 August 2015"," Suspected","6","Not reported.","Data not available."
"Guinea"," 9 August 2015"," Total","3787","7","2524"
"Liberia"," 6 August 2015"," Confirmed","6","0","2"
"Liberia"," 6 August 2015"," Probable","0","Not reported.","Data not available."
"Liberia"," 6 August 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 6 August 2015"," Total","6","0","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 9 August 2015"," Confirmed","8697","6","3585"
"Sierra Leone"," 9 August 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 9 August 2015"," Suspected","4486","Not reported.","158"
"Sierra Leone"," 9 August 2015"," Total","13 470","6","3951"
"All countries","  "," Confirmed","15 183","13","Data not available."
"All countries","  "," Probable","2618","Not reported.","Data not available."
"All countries","  "," Suspected","10 128","Not reported.","Data not available."
"All countries","  "," Total","27 929","13","11 283"
