"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 27 May 2015"," Confirmed","3216","2006"
"Guinea"," 27 May 2015"," Probable","419","419"
"Guinea"," 27 May 2015"," Suspected","9","Not available"
"Guinea"," 27 May 2015"," Total","3644","2425"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 27 May 2015"," Confirmed","8614","3545"
"Sierra Leone"," 27 May 2015"," Probable","287","208"
"Sierra Leone"," 27 May 2015"," Suspected","3844","158"
"Sierra Leone"," 27 May 2015"," Total","12 745","3911"
"All countries","  "," Confirmed","14 981","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9489","Not available"
"All countries","  "," Total","27 055","11 142"
