"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 7 July 2015"," Confirmed","3290","2055"
"Guinea"," 7 July 2015"," Probable","450","450"
"Guinea"," 7 July 2015"," Suspected","4","Not available"
"Guinea"," 7 July 2015"," Total","3744","2505"
"Liberia"," 7 July 2015"," Confirmed","5","1"
"Liberia"," 7 July 2015"," Probable","1","Not available"
"Liberia"," 7 July 2015"," Suspected","Not available","Not available"
"Liberia"," 7 July 2015"," Total","6","1"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 7 July 2015"," Confirmed","8675","3575"
"Sierra Leone"," 7 July 2015"," Probable","287","208"
"Sierra Leone"," 7 July 2015"," Suspected","4207","158"
"Sierra Leone"," 7 July 2015"," Total","13 169","3941"
"All countries","  "," Confirmed","15 121","Not available"
"All countries","  "," Probable","2617","Not available"
"All countries","  "," Suspected","9847","Not available"
"All countries","  "," Total","27 585","11 253"
