"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 5 August 2015"," Confirmed","3329","2072"
"Guinea"," 5 August 2015"," Probable","452","452"
"Guinea"," 5 August 2015"," Suspected","14","Not available"
"Guinea"," 5 August 2015"," Total","3795","2524"
"Liberia"," 3 August 2015"," Confirmed","6","2"
"Liberia"," 3 August 2015"," Probable","0","Not available"
"Liberia"," 3 August 2015"," Suspected","Not available","Not available"
"Liberia"," 3 August 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 5 August 2015"," Confirmed","8696","3585"
"Sierra Leone"," 5 August 2015"," Probable","287","208"
"Sierra Leone"," 5 August 2015"," Suspected","4445","158"
"Sierra Leone"," 5 August 2015"," Total","13 428","3951"
"All countries","  "," Confirmed","15 182","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 095","Not available"
"All countries","  "," Total","27 895","11 283"
