"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 30 May 2015"," Confirmed","3220","2009"
"Guinea"," 30 May 2015"," Probable","419","419"
"Guinea"," 30 May 2015"," Suspected","14","Not available"
"Guinea"," 30 May 2015"," Total","3653","2428"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 30 May 2015"," Confirmed","8618","3545"
"Sierra Leone"," 30 May 2015"," Probable","287","208"
"Sierra Leone"," 30 May 2015"," Suspected","3911","158"
"Sierra Leone"," 30 May 2015"," Total","12 816","3911"
"All countries","  "," Confirmed","14 989","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9561","Not available"
"All countries","  "," Total","27 135","11 145"
