"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 26 August 2015"," Confirmed","3336","2076"
"Guinea"," 26 August 2015"," Probable","452","452"
"Guinea"," 26 August 2015"," Suspected","9","Not available"
"Guinea"," 26 August 2015"," Total","3797","2528"
"Liberia"," 20 August 2015"," Confirmed","6","2"
"Liberia"," 20 August 2015"," Probable","0","Not available"
"Liberia"," 20 August 2015"," Suspected","Not available","Not available"
"Liberia"," 20 August 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 26 August 2015"," Confirmed","8697","3586"
"Sierra Leone"," 26 August 2015"," Probable","287","208"
"Sierra Leone"," 26 August 2015"," Suspected","4602","158"
"Sierra Leone"," 26 August 2015"," Total","13 586","3952"
"All countries","  "," Confirmed","15 190","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 247","Not available"
"All countries","  "," Total","28 055","11 288"
