"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 1 August 2015"," Confirmed","3327","2070"
"Guinea"," 1 August 2015"," Probable","452","452"
"Guinea"," 1 August 2015"," Suspected","7","Not available"
"Guinea"," 1 August 2015"," Total","3786","2522"
"Liberia"," 22 July 2015"," Confirmed","6","2"
"Liberia"," 22 July 2015"," Probable","0","Not available"
"Liberia"," 22 July 2015"," Suspected","Not available","Not available"
"Liberia"," 22 July 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 1 August 2015"," Confirmed","8695","3585"
"Sierra Leone"," 1 August 2015"," Probable","287","208"
"Sierra Leone"," 1 August 2015"," Suspected","4420","158"
"Sierra Leone"," 1 August 2015"," Total","13 402","3951"
"All countries","  "," Confirmed","15 179","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 063","Not available"
"All countries","  "," Total","27 860","11 281"
