"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 15 July 2015"," Confirmed","3310","2059"
"Guinea"," 15 July 2015"," Probable","450","450"
"Guinea"," 15 July 2015"," Suspected","10","Not available"
"Guinea"," 15 July 2015"," Total","3770","2509"
"Liberia"," 15 July 2015"," Confirmed","6","2"
"Liberia"," 15 July 2015"," Probable","1","Not available"
"Liberia"," 15 July 2015"," Suspected","Not available","Not available"
"Liberia"," 15 July 2015"," Total","7","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 12 July 2015"," Confirmed","8688","3581"
"Sierra Leone"," 12 July 2015"," Probable","287","208"
"Sierra Leone"," 12 July 2015"," Suspected","4234","158"
"Sierra Leone"," 12 July 2015"," Total","13 209","3947"
"All countries","  "," Confirmed","15 155","Not available"
"All countries","  "," Probable","2617","Not available"
"All countries","  "," Suspected","9880","Not available"
"All countries","  "," Total","27 652","11 264"
