"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 26 May 2015"," Confirmed","3214","2004"
"Guinea"," 26 May 2015"," Probable","419","419"
"Guinea"," 26 May 2015"," Suspected","6","Not available"
"Guinea"," 26 May 2015"," Total","3639","2423"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 26 May 2015"," Confirmed","8611","3545"
"Sierra Leone"," 26 May 2015"," Probable","287","208"
"Sierra Leone"," 26 May 2015"," Suspected","3837","158"
"Sierra Leone"," 26 May 2015"," Total","12 735","3911"
"All countries","  "," Confirmed","14 976","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9479","Not available"
"All countries","  "," Total","27 040","11 140"
