"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 28 June 2015"," Confirmed","3269","2039"
"Guinea"," 28 June 2015"," Probable","443","443"
"Guinea"," 28 June 2015"," Suspected","17","Not available"
"Guinea"," 28 June 2015"," Total","3729","2482"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 28 June 2015"," Confirmed","8665","3566"
"Sierra Leone"," 28 June 2015"," Probable","287","208"
"Sierra Leone"," 28 June 2015"," Suspected","4167","158"
"Sierra Leone"," 28 June 2015"," Total","13 119","3932"
"All countries","  "," Confirmed","15 085","Not available"
"All countries","  "," Probable","2609","Not available"
"All countries","  "," Suspected","9820","Not available"
"All countries","  "," Total","27 514","11 220"
