"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 21 June 2015"," Confirmed","3257","2030"
"Guinea"," 21 June 2015"," Probable","443","443"
"Guinea"," 21 June 2015"," Suspected","18","Not available"
"Guinea"," 21 June 2015"," Total","3718","2473"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 21 June 2015"," Confirmed","8657","3562"
"Sierra Leone"," 21 June 2015"," Probable","287","208"
"Sierra Leone"," 21 June 2015"," Suspected","4115","158"
"Sierra Leone"," 21 June 2015"," Total","13 059","3928"
"All countries","  "," Confirmed","15 065","Not available"
"All countries","  "," Probable","2609","Not available"
"All countries","  "," Suspected","9769","Not available"
"All countries","  "," Total","27 443","11 207"
