"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 25 July 2015"," Confirmed","3325","2068"
"Guinea"," 25 July 2015"," Probable","451","451"
"Guinea"," 25 July 2015"," Suspected","16","Not available"
"Guinea"," 25 July 2015"," Total","3792","2519"
"Liberia"," 15 July 2015"," Confirmed","6","2"
"Liberia"," 15 July 2015"," Probable","1","Not available"
"Liberia"," 15 July 2015"," Suspected","Not available","Not available"
"Liberia"," 15 July 2015"," Total","7","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 25 July 2015"," Confirmed","8694","3585"
"Sierra Leone"," 25 July 2015"," Probable","287","208"
"Sierra Leone"," 25 July 2015"," Suspected","4302","158"
"Sierra Leone"," 25 July 2015"," Total","13 283","3951"
"All countries","  "," Confirmed","15 176","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","9954","Not available"
"All countries","  "," Total","27 748","11 278"
