"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 27 September 2015"," Confirmed","3344","6","2080"
"Guinea"," 27 September 2015"," Probable","453","Not reported.","453"
"Guinea"," 27 September 2015"," Suspected","8","Not reported.","Data not available."
"Guinea"," 27 September 2015"," Total","3805","6","2533"
"Liberia"," 20 September 2015"," Confirmed","6","0","2"
"Liberia"," 20 September 2015"," Probable","Not reported.","Not reported.","Data not available."
"Liberia"," 20 September 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 20 September 2015"," Total","6","0","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 27 September 2015"," Confirmed","8704","5","3589"
"Sierra Leone"," 27 September 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 27 September 2015"," Suspected","4920","Not reported.","158"
"Sierra Leone"," 27 September 2015"," Total","13 911","5","3955"
"All countries","  "," Confirmed","15 205","11","Data not available."
"All countries","  "," Probable","2619","Not reported.","Data not available."
"All countries","  "," Suspected","10 564","Not reported.","Data not available."
"All countries","  "," Total","28 388","11","11 296"
