"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 20 September 2015"," Confirmed","3340","3","2079"
"Guinea"," 20 September 2015"," Probable","453","Not reported.","453"
"Guinea"," 20 September 2015"," Suspected","7","Not reported.","Data not available."
"Guinea"," 20 September 2015"," Total","3800","3","2532"
"Liberia"," 7 September 2015"," Confirmed","6","0","2"
"Liberia"," 7 September 2015"," Probable","Not reported.","Not reported.","Data not available."
"Liberia"," 7 September 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 7 September 2015"," Total","6","0","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 20 September 2015"," Confirmed","8704","6","3589"
"Sierra Leone"," 20 September 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 20 September 2015"," Suspected","4832","Not reported.","158"
"Sierra Leone"," 20 September 2015"," Total","13 823","6","3955"
"All countries","  "," Confirmed","15 201","9","Data not available."
"All countries","  "," Probable","2619","Not reported.","Data not available."
"All countries","  "," Suspected","10 475","Not reported.","Data not available."
"All countries","  "," Total","28 295","9","11 295"
