"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 12 July 2015"," Confirmed","3300","2056"
"Guinea"," 12 July 2015"," Probable","450","450"
"Guinea"," 12 July 2015"," Suspected","10","Not available"
"Guinea"," 12 July 2015"," Total","3760","2506"
"Liberia"," 12 July 2015"," Confirmed","6","2"
"Liberia"," 12 July 2015"," Probable","1","Not available"
"Liberia"," 12 July 2015"," Suspected","Not available","Not available"
"Liberia"," 12 July 2015"," Total","7","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 12 July 2015"," Confirmed","8688","3581"
"Sierra Leone"," 12 July 2015"," Probable","287","208"
"Sierra Leone"," 12 July 2015"," Suspected","4234","158"
"Sierra Leone"," 12 July 2015"," Total","13 209","3947"
"All countries","  "," Confirmed","15 145","Not available"
"All countries","  "," Probable","2617","Not available"
"All countries","  "," Suspected","9880","Not available"
"All countries","  "," Total","27 642","11 261"
