"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 20 June 2015"," Confirmed","3254","2028"
"Guinea"," 20 June 2015"," Probable","428","428"
"Guinea"," 20 June 2015"," Suspected","16","Not available"
"Guinea"," 20 June 2015"," Total","3698","2456"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 20 June 2015"," Confirmed","8657","3562"
"Sierra Leone"," 20 June 2015"," Probable","287","208"
"Sierra Leone"," 20 June 2015"," Suspected","4107","158"
"Sierra Leone"," 20 June 2015"," Total","13 051","3928"
"All countries","  "," Confirmed","15 062","Not available"
"All countries","  "," Probable","2594","Not available"
"All countries","  "," Suspected","9759","Not available"
"All countries","  "," Total","27 415","11 190"
