"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 9 September 2015"," Confirmed","3338","2078"
"Guinea"," 9 September 2015"," Probable","452","452"
"Guinea"," 9 September 2015"," Suspected","1","Not available"
"Guinea"," 9 September 2015"," Total","3791","2530"
"Liberia"," 7 September 2015"," Confirmed","6","2"
"Liberia"," 7 September 2015"," Probable","0","Not available"
"Liberia"," 7 September 2015"," Suspected","Not available","Not available"
"Liberia"," 7 September 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 9 September 2015"," Confirmed","8703","3587"
"Sierra Leone"," 9 September 2015"," Probable","287","208"
"Sierra Leone"," 9 September 2015"," Suspected","4711","158"
"Sierra Leone"," 9 September 2015"," Total","13 701","3953"
"All countries","  "," Confirmed","15 198","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 348","Not available"
"All countries","  "," Total","28 164","11 291"
