"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 8 July 2015"," Confirmed","3293","2055"
"Guinea"," 8 July 2015"," Probable","450","450"
"Guinea"," 8 July 2015"," Suspected","8","Not available"
"Guinea"," 8 July 2015"," Total","3751","2505"
"Liberia"," 7 July 2015"," Confirmed","5","1"
"Liberia"," 7 July 2015"," Probable","1","Not available"
"Liberia"," 7 July 2015"," Suspected","Not available","Not available"
"Liberia"," 7 July 2015"," Total","6","1"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 8 July 2015"," Confirmed","8676","3575"
"Sierra Leone"," 8 July 2015"," Probable","287","208"
"Sierra Leone"," 8 July 2015"," Suspected","4214","158"
"Sierra Leone"," 8 July 2015"," Total","13 177","3941"
"All countries","  "," Confirmed","15 125","Not available"
"All countries","  "," Probable","2617","Not available"
"All countries","  "," Suspected","9858","Not available"
"All countries","  "," Total","27 600","11 253"
