"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 17 June 2015"," Confirmed","3247","2027"
"Guinea"," 17 June 2015"," Probable","419","419"
"Guinea"," 17 June 2015"," Suspected","8","Not available"
"Guinea"," 17 June 2015"," Total","3674","2446"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 17 June 2015"," Confirmed","8654","3560"
"Sierra Leone"," 17 June 2015"," Probable","287","208"
"Sierra Leone"," 17 June 2015"," Suspected","4071","158"
"Sierra Leone"," 17 June 2015"," Total","13 012","3926"
"All countries","  "," Confirmed","15 052","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9715","Not available"
"All countries","  "," Total","27 352","11 178"
