"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 30 June 2015"," Confirmed","3277","2040"
"Guinea"," 30 June 2015"," Probable","450","450"
"Guinea"," 30 June 2015"," Suspected","18","Not available"
"Guinea"," 30 June 2015"," Total","3745","2490"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 30 June 2015"," Confirmed","8668","3567"
"Sierra Leone"," 30 June 2015"," Probable","287","208"
"Sierra Leone"," 30 June 2015"," Suspected","4174","158"
"Sierra Leone"," 30 June 2015"," Total","13 129","3933"
"All countries","  "," Confirmed","15 096","Not available"
"All countries","  "," Probable","2616","Not available"
"All countries","  "," Suspected","9828","Not available"
"All countries","  "," Total","27 540","11 229"
