"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 24 June 2015"," Confirmed","3266","2037"
"Guinea"," 24 June 2015"," Probable","443","443"
"Guinea"," 24 June 2015"," Suspected","11","Not available"
"Guinea"," 24 June 2015"," Total","3720","2480"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 24 June 2015"," Confirmed","8662","3565"
"Sierra Leone"," 24 June 2015"," Probable","287","208"
"Sierra Leone"," 24 June 2015"," Suspected","4144","158"
"Sierra Leone"," 24 June 2015"," Total","13 093","3931"
"All countries","  "," Confirmed","15 079","Not available"
"All countries","  "," Probable","2609","Not available"
"All countries","  "," Suspected","9791","Not available"
"All countries","  "," Total","27 479","11 217"
