"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 11 July 2015"," Confirmed","3299","2056"
"Guinea"," 11 July 2015"," Probable","450","450"
"Guinea"," 11 July 2015"," Suspected","5","Not available"
"Guinea"," 11 July 2015"," Total","3754","2506"
"Liberia"," 9 July 2015"," Confirmed","5","1"
"Liberia"," 9 July 2015"," Probable","1","Not available"
"Liberia"," 9 July 2015"," Suspected","Not available","Not available"
"Liberia"," 9 July 2015"," Total","6","1"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 11 July 2015"," Confirmed","8687","3580"
"Sierra Leone"," 11 July 2015"," Probable","287","208"
"Sierra Leone"," 11 July 2015"," Suspected","4227","158"
"Sierra Leone"," 11 July 2015"," Total","13 201","3946"
"All countries","  "," Confirmed","15 142","Not available"
"All countries","  "," Probable","2617","Not available"
"All countries","  "," Suspected","9868","Not available"
"All countries","  "," Total","27 627","11 259"
