"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 26 July 2015"," Confirmed","3326","2069"
"Guinea"," 26 July 2015"," Probable","451","451"
"Guinea"," 26 July 2015"," Suspected","9","Not available"
"Guinea"," 26 July 2015"," Total","3786","2520"
"Liberia"," 15 July 2015"," Confirmed","6","2"
"Liberia"," 15 July 2015"," Probable","1","Not available"
"Liberia"," 15 July 2015"," Suspected","Not available","Not available"
"Liberia"," 15 July 2015"," Total","7","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 26 July 2015"," Confirmed","8694","3585"
"Sierra Leone"," 26 July 2015"," Probable","287","208"
"Sierra Leone"," 26 July 2015"," Suspected","4309","158"
"Sierra Leone"," 26 July 2015"," Total","13 290","3951"
"All countries","  "," Confirmed","15 177","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","9954","Not available"
"All countries","  "," Total","27 749","11 279"
