"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 25 August 2015"," Confirmed","3336","2076"
"Guinea"," 25 August 2015"," Probable","452","452"
"Guinea"," 25 August 2015"," Suspected","9","Not available"
"Guinea"," 25 August 2015"," Total","3797","2528"
"Liberia"," 20 August 2015"," Confirmed","6","2"
"Liberia"," 20 August 2015"," Probable","0","Not available"
"Liberia"," 20 August 2015"," Suspected","Not available","Not available"
"Liberia"," 20 August 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 25 August 2015"," Confirmed","8697","3586"
"Sierra Leone"," 25 August 2015"," Probable","287","208"
"Sierra Leone"," 25 August 2015"," Suspected","4598","158"
"Sierra Leone"," 25 August 2015"," Total","13 582","3952"
"All countries","  "," Confirmed","15 190","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 243","Not available"
"All countries","  "," Total","28 051","11 288"
