"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 24 May 2015"," Confirmed","3210","2001"
"Guinea"," 24 May 2015"," Probable","419","419"
"Guinea"," 24 May 2015"," Suspected","12","Not available"
"Guinea"," 24 May 2015"," Total","3641","2420"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 24 May 2015"," Confirmed","8608","3542"
"Sierra Leone"," 24 May 2015"," Probable","287","208"
"Sierra Leone"," 24 May 2015"," Suspected","3811","158"
"Sierra Leone"," 24 May 2015"," Total","12 706","3908"
"All countries","  "," Confirmed","14 969","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9459","Not available"
"All countries","  "," Total","27 013","11 134"
