"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 1 July 2015"," Confirmed","3279","2042"
"Guinea"," 1 July 2015"," Probable","450","450"
"Guinea"," 1 July 2015"," Suspected","21","Not available"
"Guinea"," 1 July 2015"," Total","3750","2492"
"Liberia"," 1 July 2015"," Confirmed","3","1"
"Liberia"," 1 July 2015"," Probable","0","0"
"Liberia"," 1 July 2015"," Suspected","37","4"
"Liberia"," 1 July 2015"," Total","40","5"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 1 July 2015"," Confirmed","8671","3569"
"Sierra Leone"," 1 July 2015"," Probable","287","208"
"Sierra Leone"," 1 July 2015"," Suspected","4177","158"
"Sierra Leone"," 1 July 2015"," Total","13 135","3935"
"All countries","  "," Confirmed","15 104","Not available"
"All countries","  "," Probable","2616","Not available"
"All countries","  "," Suspected","9871","Not available"
"All countries","  "," Total","27 591","11 238"
